timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661941863274,160,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-1,text,true,,129,142,1,1,http://192.168.1.86:49172/fibonacci?number=22,157,0,19
1661941864142,59,HTTP Request - main,200,OK,Thread Group 1-2,text,true,,138,123,2,2,http://192.168.1.86:49172/,59,0,6
1661941864232,95,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-1,text,true,,150,135,2,2,http://192.168.1.86:49172/sort?n=15804,95,0,0
1661941865141,57,HTTP Request - unstable,200,OK,Thread Group 1-2,text,true,,144,131,3,3,http://192.168.1.86:49172/unstable,57,0,0
1661941865231,91,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-1,text,true,,129,142,3,3,http://192.168.1.86:49172/fibonacci?number=21,91,0,0
1661941866142,77,HTTP Request - sort 10000,200,OK,Thread Group 1-2,text,true,,150,135,4,4,http://192.168.1.86:49172/sort?n=10000,77,0,0
1661941866149,180,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-4,text,true,,129,142,4,4,http://192.168.1.86:49172/fibonacci?number=23,180,0,6
1661941866232,132,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-1,text,true,,150,135,4,4,http://192.168.1.86:49172/sort?n=17525,132,0,0
1661941867141,54,HTTP Request - main,200,OK,Thread Group 1-2,text,true,,138,123,5,5,http://192.168.1.86:49172/,54,0,0
1661941867149,97,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-4,text,true,,150,135,5,5,http://192.168.1.86:49172/sort?n=17849,97,0,0
1661941867149,157,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-5,text,true,,129,142,5,5,http://192.168.1.86:49172/fibonacci?number=22,157,0,3
1661941867231,94,HTTP Request - main,200,OK,Thread Group 1-1,text,true,,138,123,5,5,http://192.168.1.86:49172/,94,0,0
1661941868142,218,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-2,text,true,,130,142,6,6,http://192.168.1.86:49172/fibonacci?number=24,218,0,0
1661941868149,258,HTTP Request - main,200,OK,Thread Group 1-4,text,true,,138,123,6,6,http://192.168.1.86:49172/,258,0,0
1661941868232,175,HTTP Request - unstable,200,OK,Thread Group 1-1,text,true,,144,131,6,6,http://192.168.1.86:49172/unstable,175,0,0
1661941868148,263,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-5,text,true,,150,135,6,6,http://192.168.1.86:49172/sort?n=17526,263,0,0
1661941868146,433,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-6,text,true,,130,142,6,6,http://192.168.1.86:49172/fibonacci?number=24,433,0,6
1661941869141,89,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-2,text,true,,150,135,7,7,http://192.168.1.86:49172/sort?n=15310,89,0,0
1661941869150,127,HTTP Request - unstable,200,OK,Thread Group 1-4,text,true,,144,131,7,7,http://192.168.1.86:49172/unstable,127,0,0
1661941869147,130,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-6,text,true,,150,135,7,7,http://192.168.1.86:49172/sort?n=18960,130,0,0
1661941869146,174,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-7,text,true,,129,142,7,7,http://192.168.1.86:49172/fibonacci?number=20,174,0,18
1661941869232,104,HTTP Request - sort 10000,200,OK,Thread Group 1-1,text,true,,150,135,7,7,http://192.168.1.86:49172/sort?n=10000,104,0,0
1661941870141,65,HTTP Request - main,200,OK,Thread Group 1-2,text,true,,138,123,8,8,http://192.168.1.86:49172/,65,0,0
1661941870146,168,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-6,text,true,,129,142,8,8,http://192.168.1.86:49172/fibonacci?number=23,168,0,0
1661941870146,198,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-7,text,true,,150,135,8,8,http://192.168.1.86:49172/sort?n=17035,198,0,0
1661941870149,211,HTTP Request - sort 10000,200,OK,Thread Group 1-4,text,true,,150,135,8,8,http://192.168.1.86:49172/sort?n=10000,211,0,0
1661941865142,5243,HTTP Request - wait 5,200,OK,Thread Group 1-3,text,true,,139,133,8,8,http://192.168.1.86:49172/wait?sec=5,5243,0,7
1661941870231,154,HTTP Request - main,200,OK,Thread Group 1-1,text,true,,138,123,8,8,http://192.168.1.86:49172/,154,0,0
1661941870146,259,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-8,text,true,,129,142,8,8,http://192.168.1.86:49172/fibonacci?number=21,259,0,6
1661941870386,51,HTTP Request - main,200,OK,Thread Group 1-3,text,true,,138,123,8,8,http://192.168.1.86:49172/,51,0,0
1661941871142,54,HTTP Request - unstable,200,OK,Thread Group 1-2,text,true,,144,131,9,9,http://192.168.1.86:49172/unstable,54,0,0
1661941871146,96,HTTP Request - main,200,OK,Thread Group 1-7,text,true,,138,123,9,9,http://192.168.1.86:49172/,96,0,0
1661941871146,97,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-8,text,true,,150,135,9,9,http://192.168.1.86:49172/sort?n=17060,97,0,0
1661941871149,145,HTTP Request - main,200,OK,Thread Group 1-4,text,true,,138,123,9,9,http://192.168.1.86:49172/,145,0,0
1661941871146,148,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-6,text,true,,150,135,9,9,http://192.168.1.86:49172/sort?n=18660,148,0,0
1661941871232,91,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-1,text,true,,129,142,9,9,http://192.168.1.86:49172/fibonacci?number=20,91,0,0
1661941871386,60,HTTP Request - unstable,200,OK,Thread Group 1-3,text,true,,144,131,9,9,http://192.168.1.86:49172/unstable,60,0,0
1661941872141,79,HTTP Request - sort 10000,200,OK,Thread Group 1-2,text,true,,150,135,10,10,http://192.168.1.86:49172/sort?n=10000,79,0,0
1661941872147,183,HTTP Request - unstable,200,OK,Thread Group 1-7,text,true,,144,131,10,10,http://192.168.1.86:49172/unstable,183,0,0
1661941872146,184,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-8,text,true,,129,142,10,10,http://192.168.1.86:49172/fibonacci?number=23,184,0,0
1661941872147,183,HTTP Request - main,200,OK,Thread Group 1-6,text,true,,138,123,10,10,http://192.168.1.86:49172/,183,0,0
1661941872149,355,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-4,text,true,,130,142,10,10,http://192.168.1.86:49172/fibonacci?number=24,354,0,0
1661941872232,321,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-1,text,true,,150,135,10,10,http://192.168.1.86:49172/sort?n=17044,321,0,0
1661941872386,180,HTTP Request - sort 10000,200,OK,Thread Group 1-3,text,true,,150,135,10,10,http://192.168.1.86:49172/sort?n=10000,180,0,0
1661941872144,437,HTTP Request - fibonacci 20 - 25,200,OK,Thread Group 1-10,text,true,,129,142,10,10,http://192.168.1.86:49172/fibonacci?number=20,437,0,6
1661941873141,57,HTTP Request - main,200,OK,Thread Group 1-2,text,true,,138,123,11,11,http://192.168.1.86:49172/,57,0,0
1661941873143,86,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-10,text,true,,150,135,11,11,http://192.168.1.86:49172/sort?n=15357,86,0,0
1661941873146,127,HTTP Request - unstable,200,OK,Thread Group 1-6,text,true,,144,131,11,11,http://192.168.1.86:49172/unstable,127,0,0
1661941873145,128,HTTP Request - sort 15 000 - 20 000,200,OK,Thread Group 1-8,text,true,,150,135,11,11,http://192.168.1.86:49172/sort?n=18264,128,0,0
